jahr;stichtag;stadtbezirk_id;stadtbezirk_name;einw_ges;einw_alter_unter1j;einw_alter_1bis_unter3j;einw_alter_3bis_unter5j;einw_alter_5bis_unter6j;einw_alter_6bis_unter10j;einw_alter_10bis_unter14j;einw_alter_14bis_unter15j;einw_alter_15bis_unter18j;einw_alter_18bis_unter21j;einw_alter_21bis_unter25j;einw_alter_25bis_unter30j;einw_alter_30bis_unter40j;einw_alter_40bis_unter45j;einw_alter_45bis_unter60j;einw_alter_60bis_unter65j;einw_alter_65bis_unter70j;einw_alter_70bis_unter75j;einw_alter_75j_u_aelter;durchschnittsalter_in_jahren
2018;20181231;057110004;Dornberg;19486;154;354;339;158;691;622;160;532;696;1049;1235;2280;1150;4265;1314;1115;897;2475;45
2018;20181231;057110005;Jöllenbeck;22258;195;433;439;205;870;886;209;706;748;932;1152;2547;1232;5265;1482;1261;1021;2675;44,7
2018;20181231;057110006;Heepen;47429;463;1029;972;510;2020;2105;569;1685;1826;2207;2820;5632;2866;10126;2861;2560;1791;5387;42,7
2018;20181231;057110007;Stieghorst;32202;320;666;712;317;1253;1340;348;1099;1170;1546;2011;3918;1950;6940;2012;1695;1260;3645;43
2018;20181231;057110008;Sennestadt;21809;213;436;464;220;901;945;243;733;754;912;1286;2607;1272;4583;1366;1111;800;2963;44
2018;20181231;057110009;Senne;21123;191;466;424;209;853;867;228;698;701;866;1166;2650;1308;4801;1360;1098;840;2397;43,6
2018;20180630;057110000;Mitte;80701;773;1579;1309;619;2446;2469;567;1853;2800;6245;8813;13527;4943;16054;4064;3402;2549;6689;40,6
2018;20180630;057110001;Schildesche;42238;406;792;753;360;1437;1394;343;1016;1514;3111;3638;5553;2362;8647;2340;1973;1622;4977;42,9
2018;20180630;057110002;Gadderbaum;10262;63;145;156;65;317;361;81;303;396;536;669;1248;657;2472;683;493;400;1217;44,8
2018;20180630;057110003;Brackwede;40528;404;863;784;379;1450;1545;406;1173;1351;1913;2780;5250;2514;8830;2449;2010;1691;4736;43,5
2018;20180630;057110004;Dornberg;19353;165;333;329;153;681;645;144;546;677;1069;1205;2248;1124;4251;1319;1125;885;2454;45,1
2018;20180630;057110005;Jöllenbeck;22250;186;435;423;199;871;875;235;695;795;936;1127;2532;1272;5256;1448;1285;1006;2674;44,6
2018;20180630;057110006;Heepen;47339;482;1004;983;518;2022;2098;525;1710;1819;2197;2791;5609;2854;10123;2865;2555;1739;5445;42,7
2018;20180630;057110007;Stieghorst;32344;315;712;674;303;1297;1355;361;1111;1193;1550;2021;3901;1963;7025;1987;1712;1239;3625;42,9
2018;20180630;057110008;Sennestadt;21756;196;454;463;232;886;946;260;707;759;922;1303;2593;1217;4558;1367;1092;809;2992;44
2018;20180630;057110009;Senne;21001;181;472;410;214;819;869;240;681;727;847;1191;2581;1296;4803;1351;1080;840;2399;43,6
2017;20171231;057110000;Mitte;80406;778;1538;1282;631;2438;2453;577;1850;2900;6225;8793;13427;4944;16046;4002;3334;2532;6656;40,6
2017;20171231;057110001;Schildesche;42050;382;805;733;365;1422;1399;314;1030;1606;3087;3551;5473;2361;8627;2350;1908;1677;4960;42,9
2017;20171231;057110002;Gadderbaum;10301;73;144;151;70;327;358;90;307;394;527;700;1231;669;2475;678;474;407;1226;44,7
2017;20171231;057110003;Brackwede;40455;424;797;786;365;1457;1545;388;1210;1416;1884;2775;5213;2543;8838;2363;2017;1685;4749;43,5
2017;20171231;057110004;Dornberg;19313;145;344;295;154;676;641;157;543;694;1085;1174;2242;1102;4317;1274;1113;931;2426;45,1
2017;20171231;057110005;Jöllenbeck;22120;199;385;447;222;845;861;239;724;791;903;1118;2470;1273;5265;1427;1287;1005;2659;44,6
2017;20171231;057110006;Heepen;47517;477;1006;1009;498;2043;2116;537;1736;1855;2211;2893;5571;2877;10150;2820;2492;1746;5480;42,6
2017;20171231;057110007;Stieghorst;32289;319;672;676;329;1297;1354;355;1135;1183;1524;2002;3871;1949;7081;1934;1706;1242;3660;42,9
2017;20171231;057110008;Sennestadt;21710;193;449;457;245;888;929;230;709;803;880;1322;2560;1212;4543;1345;1094;816;3035;44,1
2017;20171231;057110009;Senne;21058;205;459;399;206;837;867;235;715;710;861;1204;2587;1275;4883;1298;1076;859;2382;43,5
2017;20170630;057110000;Mitte;80402;859;1547;1238;643;2442;2398;564;1890;2900;6113;8824;13416;4989;16048;3984;3325;2491;6731;40,6
2017;20170630;057110001;Schildesche;41895;387;767;755;384;1409;1367;328;1030;1610;3014;3562;5426;2423;8579;2359;1864;1675;4956;42,9
2017;20170630;057110002;Gadderbaum;10340;89;154;136;62;338;338;94;318;417;529;670;1232;678;2498;681;474;403;1229;44,6
2017;20170630;057110003;Brackwede;40304;432;776;757;347;1452;1519;377;1199;1469;1860;2768;5153;2540;8862;2309;1998;1701;4785;43,6
2017;20170630;057110004;Dornberg;19215;159;317;300;171;673;614;177;547;684;1025;1186;2193;1130;4329;1259;1096;944;2411;45,1
2017;20170630;057110005;Jöllenbeck;22209;207;399;413;239;830;902;234;735;810;909;1151;2457;1272;5301;1442;1244;1011;2653;44,5
2017;20170630;057110006;Heepen;47447;474;982;994;499;2035;2085;572;1729;1872;2223;2841;5555;2894;10181;2791;2482;1765;5473;42,6
2017;20170630;057110007;Stieghorst;32271;345;657;646;346;1282;1377;378;1120;1173;1508;2053;3863;1913;7103;1914;1699;1250;3644;42,9
2017;20170630;057110008;Sennestadt;21701;194;482;438;232;865;940;217;698;787;909;1346;2504;1189;4582;1326;1073;821;3098;44,2
2017;20170630;057110009;Senne;21067;216;446;411;185;859;873;215;724;727;860;1205;2572;1292;4889;1292;1060;857;2384;43,4
2016;20161231;057110000;Mitte;80144;824;1487;1252;591;2462;2365;555;1918;2952;6051;8806;13360;5013;16036;3959;3254;2525;6734;40,6
2016;20161231;057110001;Schildesche;41887;391;764;744;372;1372;1360;311;1064;1652;2956;3561;5470;2473;8577;2321;1874;1684;4941;42,9
2016;20161231;057110002;Gadderbaum;10321;80;146;140;69;344;333;89;319;429;514;704;1218;668;2480;667;483;398;1240;44,6
2016;20161231;057110003;Brackwede;40069;377;749;728;351;1446;1498;378;1253;1444;1897;2766;4980;2536;8884;2320;1976;1703;4783;43,7
2016;20161231;057110004;Dornberg;19202;150;313;307;162;670;623;183;560;696;1003;1194;2147;1145;4338;1252;1079;953;2427;45,1
2016;20161231;057110005;Jöllenbeck;22192;188;434;440;223;835;889;227;754;814;908;1164;2433;1299;5319;1393;1244;1025;2603;44,3
2016;20161231;057110006;Heepen;47606;506;969;996;502;2039;2150;580;1731;1862;2256;2858;5593;2912;10136;2799;2426;1793;5498;42,5
2016;20161231;057110007;Stieghorst;32293;308;686;658;319;1298;1388;394;1115;1190;1489;2046;3846;1936;7147;1899;1644;1250;3680;42,9
2016;20161231;057110008;Sennestadt;21674;219;442;439;205;865;918;236;737;757;936;1350;2475;1199;4599;1297;1026;865;3109;44,2
